strategy_name,avg_annual_return,avg_sharpe_ratio,avg_max_drawdown,avg_win_rate,avg_trades,avg_profit_factor,success_rate,consistency_score,composite_score
CMF,10.0,4.5773811718167225,-0.006535829212281121,0.2881119465329992,70.4,0.7363111263093289,100.0,1.0,4.286254919091674
MTFMACD,10.0,4.446267835196901,-0.01873347603965238,0.29630530076159206,62.6,0.7808733694386232,100.0,1.0,4.2522660587055325
VWAP,10.0,4.351872654543612,-0.011532657550099327,0.29210339080917164,60.4,0.8355125370583909,100.0,1.0,4.2294771407472584
AD,10.0,4.337606023273049,-0.010302362383420052,0.29669860328192205,61.6,1.1007944508072887,100.0,1.0,4.226845823833867
HistoricalVolatility,10.0,4.301957173655906,-0.01232707797015957,0.24920994914403485,67.8,0.3784991863329688,100.0,1.0,4.21040537019155
OBV,10.0,4.220171701684415,-0.010642290657691922,0.30373775212896403,57.6,0.9185864135324302,100.0,1.0,4.19847513010891
MTFRSI,10.0,3.043055832387485,-0.015027607228597398,0.2485065187662184,32.2,0.9691428073881502,100.0,1.0,3.8950344144660844
UltimateOscillator,10.0,2.948765203943286,-0.011276269583218644,0.2940398995059643,30.0,0.5037113073553006,100.0,1.0,3.8790420319950725
MovingAverageCrossover,10.0,2.193179411715758,-0.009352500264287578,0.3397243107769424,17.2,1.176499603675263,100.0,1.0,3.697382999492623
KeltnerChannel,10.0,2.1633464263864233,-0.005026094990806784,0.38132730015082955,18.0,1.0684432040756677,100.0,1.0,3.6970304826210687
MTFTrendAnalysis,10.0,2.1533512783923023,-0.014555515003257895,0.3222662522662523,16.8,0.5136738018559013,100.0,1.0,3.683766654437362
RSI,10.0,1.9659009191713928,-0.004117574826889689,0.31618933697881063,23.0,1.1200786223207486,100.0,1.0,3.638080115374292
ATR,10.0,1.7273468460031929,-0.00611988851035971,0.3235653235653236,11.4,0.8254524428864874,100.0,1.0,3.579147532333525
WilliamsR,10.0,1.4110359971900643,-0.008320026420108087,0.439047619047619,7.4,1.1296717277048047,100.0,1.0,3.5169521368706373
Stochastic,10.0,1.201898518028916,-0.005850302139639445,0.36238095238095236,6.6,0.9324471046436834,100.0,1.0,3.453661711936444
ROC,10.0,1.046897461446194,-0.00737477007185845,0.32857142857142857,4.8,0.7914659036659878,100.0,1.0,3.4095351256328916
BollingerSqueeze,7.048558331440054,0.9226078871151941,-0.007039825635819541,0.27999999999999997,6.8,0.5244023267040963,100.0,0.19445983091513966,2.405257489175165
MACD,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.1
Momentum,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.1
BollingerBands,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.1
